kraj,kupni_cena,odhadni_cena
Hlavní město Praha,58691,49380
Středočeský kraj,25204,19343
Jihočeský kraj,17803,13968
Plzeňský kraj,23389,17642
Karlovarský kraj,13198,10651
Ústecký kraj,7772,5821
Liberecký kraj,18090,13129
Královéhradecký kraj,21336,16368
Pardubický kraj,23408,17333
Kraj Vysočina,19362,15077
Jihomoravský kraj,33145,26943
Olomoucký kraj,19080,14026
Zlínský kraj,20567,15732
Moravskoslezský kraj,15891,12002
