kraj,kupni_cena,odhadni_cena
Hlavní město Praha,49536,41030
Středočeský kraj,21652,17839
Jihočeský kraj,16396,13676
Plzeňský kraj,19030,15431
Karlovarský kraj,12384,11138
Ústecký kraj,7133,5658
Liberecký kraj,14375,11445
Královéhradecký kraj,19426,15394
Pardubický kraj,20887,16139
Kraj Vysočina,16196,13424
Jihomoravský kraj,26825,21765
Olomoucký kraj,16571,12406
Zlínský kraj,17279,14111
Moravskoslezský kraj,13546,11189
