kraj,kupni_cena,odhadni_cena
Hlavní město Praha,53602,45253
Středočeský kraj,22817,18154
Jihočeský kraj,16877,13838
Plzeňský kraj,21001,16505
Karlovarský kraj,12194,10766
Ústecký kraj,7266,5702
Liberecký kraj,15796,12143
Královéhradecký kraj,20382,15934
Pardubický kraj,22016,16740
Kraj Vysočina,17258,13931
Jihomoravský kraj,29368,24020
Olomoucký kraj,17351,12850
Zlínský kraj,18305,14692
Moravskoslezský kraj,14268,11437
